AB256049	980717Pt.1#3
AB256050	980717Pt.1#5
AB256051	980717Pt.1#16
AB256052	980717Pt.1#21
AB256053	980717Pt.1#30
AB256054	980717Pt.1#32-1
AB256055	980717Pt.1#32-2
AB256056	980717Pt.1#38
AB256058	980717Pt.1#42
AB256057	980717Pt.1#39
AB256060	980717Pt.1#73
AB256061	980717Pt.1#82-1
AB256062	980717Pt.1#94
AB256059	980717Pt.1#70
AB256063	980717Pt.1#99
AB256064	980717Pt.1#102
AB256065	980717Pt.1#103
AB256066	980717Pt.1#112
AB256067	980717Pt.1#135
AB256068	980717Pt.1#139-1
AB256069	980717Pt.1#151
AB256070	980717Pt.1#159
AB256071	980717Pt.1#182
AB256072	980717Pt.1#188
AB256073	980717Pt.1#199
AB256074	980717Pt.1#199
AB256075	980717Pt.1#206
AB256076	980717Pt.1#209
AB256078	980717Pt.1#225
AB256077	980717Pt.1#224
AB256080	980717Pt.1#227-2
AB256079	980717Pt.1#227-1
AB256081	980717Pt.1#234
AB256082	980717Pt.1#236-2
AB256083	980717Pt.1#260
AB256084	980717Pt.1#269-2
AB256085	980717Pt.1#278
AB256086	980717Pt.1#280
AB256087	980717Pt.1#283
AB256088	980717Pt.1#290
AB256089	980717Pt.1#311
AB256090	980717Pt.1#313
AB256091	980717Pt.1#352
AB256092	980717Pt.1#360
AB256093	980717Pt.1#365
AB256094	980717Pt.1#365
AB256095	980717Pt.1#367
AB256096	990709Pt.1#28
AB256097	990709Pt.1#30-2
AB256098	990709Pt.1#31
AB256100	990709Pt.1#45
AB256099	990709Pt.1#36-2
AB256101	990709Pt.1#48
AB256103	990709Pt.1#66
AB256102	990709Pt.1#49
AB256105	990709Pt.1#81-1
AB256106	990709Pt.1#81-2
AB256104	990709Pt.1#80-3
AB256107	990709Pt.1#91
AB256108	990709Pt.1#94
AB256109	990709Pt.1#105
AB256111	990709Pt.1#125
AB256112	990709Pt.1#128
AB256110	990709Pt.1#109
AB256114	990709Pt.1#141
AB256113	990709Pt.1#131
AB256116	990709Pt.1#159
AB256115	990709Pt.1#146
AB256118	990709Pt.1#197
AB256117	990709Pt.1#191
AB256119	990709Pt.1#211
AB256120	990709Pt.1#217-1
AB256121	990709Pt.1#217-2
AB256122	990709Pt.1#221
AB256123	990709Pt.1#232-1
AB256124	990709Pt.1#232-2
AB256125	990709Pt.1#236-1
AB256126	990709Pt.1#245
AB256128	990709Pt.1#247-2
AB256129	990709Pt.1#252
AB256127	990709Pt.1#247-1
AB256130	990709Pt.1#263-2
AB256131	990709Pt.1#292
AB256132	990709Pt.1#311
AB256133	990709Pt.1#315
AB256134	990709Pt.1#317
