chromosome,gene,location,ltr,ncbi_gene_id,note,orientation_in_gene,orientation_in_reference,sample/original_id,sample/pubmed_id,source_name
1,RERE,8448583,5p,473,,R,F,21,15163705,NCI-RID
1,NMNAT1,10034649,5p,64802,,F,F,21,15163705,NCI-RID
1,,23891195,5p,,,,,149,15163705,NCI-RID
1,KIAA0319L,35950701,5p,79932,,R,R,22,15163705,NCI-RID
1,KIAA0319L,35978232,5p,79932,,R,F,21,15163705,NCI-RID
1,CACHD1,64987369,5p,57685,,F,R,150,15163705,NCI-RID
1,GATAD2B,153866184,5p,57459,,R,F,144,15163705,NCI-RID
1,ADAR,154557904,5p,103,,R,R,153,15163705,NCI-RID
1,,198958076,5p,,,,,143,15163705,NCI-RID
2,BRE,28469242,5p,9577,,F,F,153,15163705,NCI-RID
2,,241651834,5p,,,,,153,15163705,NCI-RID
3,TGFBR2,30720434,5p,7048,,F,R,21,15163705,NCI-RID
3,DAG1,49555405,5p,1605,,F,F,21,15163705,NCI-RID
3,DLG1,196900300,5p,1739,,R,F,21,15163705,NCI-RID
4,,38598772,5p,,,,,21,15163705,NCI-RID
4,CCDC109B,110548307,5p,55013,,F,R,21,15163705,NCI-RID
5,SLC38A9,54961734,5p,153129,,R,F,103,15163705,NCI-RID
5,ERAP1,96138657,5p,51752,,R,R,21,15163705,NCI-RID
5,LOX,121405775,5p,4015,,R,F,142,15163705,NCI-RID
5,SLC12A2,127483562,5p,6558,,F,R,21,15163705,NCI-RID
5,ANKHD1,139850268,5p,54882,,F,R,22,15163705,NCI-RID
6,FARS2,5606278,5p,10667,,F,F,21,15163705,NCI-RID
6,,30506021,5p,,,,,144,15163705,NCI-RID
6,,32893242,5p,,,,,144,15163705,NCI-RID
6,FKBP5,35646989,5p,2289,,R,R,79,15163705,NCI-RID
6,BTBD9,38570382,5p,114781,,R,F,21,15163705,NCI-RID
6,HBS1L,135323612,5p,10767,,R,F,21,15163705,NCI-RID
6,MYB,135520570,5p,4602,,F,F,21,15163705,NCI-RID
6,AHI1,135811734,5p,54806,,R,R,22,15163705,NCI-RID
7,PIK3CG,106511329,5p,5294,,F,F,21,15163705,NCI-RID
8,ZNF623,144724888,5p,9831,,F,F,21,15163705,NCI-RID
9,GNAQ,80533884,5p,2776,,R,R,22,15163705,NCI-RID
9,,117478696,5p,,,,,22,15163705,NCI-RID
10,ADD3,111811163,5p,120,,F,R,21,15163705,NCI-RID
11,SBF2-AS1,9779886,5p,283104,,F,R,21,15163705,NCI-RID
11,SF1,64543661,5p,7536,,R,F,21,15163705,NCI-RID
11,CLPB,72131563,5p,81570,,R,R,21,15163705,NCI-RID
12,PARP11,3955731,5p,57097,,R,R,143,15163705,NCI-RID
12,AMN1,31857504,5p,196394,,R,R,152,15163705,NCI-RID
12,DIP2B,51072227,5p,57609,,F,R,150,15163705,NCI-RID
12,CBX5,54636639,5p,23468,,R,R,151,15163705,NCI-RID
12,,92795962,5p,,,,,145,15163705,NCI-RID
15,RNF111,59374497,5p,54778,,F,R,146,15163705,NCI-RID
15,PIAS1,68420045,5p,8554,,F,F,21,15163705,NCI-RID
15,AKAP13,86189926,5p,11214,,F,R,153,15163705,NCI-RID
16,SPN,29681519,5p,6693,,F,F,153,15163705,NCI-RID
16,,29724502,5p,,,,,21,15163705,NCI-RID
16,KIF22,29809570,5p,3835,,F,R,21,15163705,NCI-RID
16,RSPRY1,57265515,5p,89970,,F,F,21,15163705,NCI-RID
16,NFATC3,68179951,5p,4775,,F,F,79,15163705,NCI-RID
17,TSR1,2228660,5p,55720,,R,F,21,15163705,NCI-RID
17,NCOR1,16062208,5p,9611,,R,F,21,15163705,NCI-RID
17,AKAP10,19850073,5p,11216,,R,R,21,15163705,NCI-RID
17,TOP2A,38563322,5p,7153,,R,R,150,15163705,NCI-RID
17,MEOX1,41727533,5p,4222,,R,R,103,15163705,NCI-RID
17,GRB2,73332531,5p,2885,,R,F,21,15163705,NCI-RID
17,RNF157,74215223,5p,114804,,R,F,21,15163705,NCI-RID
17,PRPSAP1,74341831,5p,5635,,R,F,153,15163705,NCI-RID
17,,75918743,5p,,,,,153,15163705,NCI-RID
17,,79832673,5p,,,,,21,15163705,NCI-RID
17,TBCD,80729156,5p,6904,,F,R,20,15163705,NCI-RID
19,DNMT1,10292709,5p,1786,,R,R,99,15163705,NCI-RID
19,ICAM3,10448206,5p,3385,,R,R,21,15163705,NCI-RID
19,JAK3,17939839,5p,3718,,R,F,21,15163705,NCI-RID
19,KIAA0355,34843246,5p,9710,,F,F,22,15163705,NCI-RID
19,,36197331,5p,,,,,21,15163705,NCI-RID
19,VRK3,50500224,5p,51231,,R,F,152,15163705,NCI-RID
19,ZNF470,57087504,5p,388566,,F,R,21,15163705,NCI-RID
20,ADNP,49538444,5p,23394,,R,F,153,15163705,NCI-RID
22,CRKL,21285013,5p,1399,,F,F,22,15163705,NCI-RID
22,,37591227,5p,,,,,153,15163705,NCI-RID
22,EIF3L,38258269,5p,51386,,F,R,21,15163705,NCI-RID
22,,50979893,5p,,,,,22,15163705,NCI-RID
X,,42941055,5p,,,,,22,15163705,NCI-RID
X,,118943893,5p,,,,R,AB256049.1,17262715,NCI-RID
6,BACH2,90751126,5p,60468,,R,R,AB256050.1,17262715,NCI-RID
20,ITCH,33058716,5p,83737,,F,F,AB256051.1,17262715,NCI-RID
6,BACH2,90751126,5p,60468,,R,R,AB256052.1,17262715,NCI-RID
6,BACH2,90754159,5p,60468,,R,R,AB256053.1,17262715,NCI-RID
9,STX17,102689318,5p,55014,,F,R,AB256054.1,17262715,NCI-RID
8,YTHDF3,64104217,5p,253943,,F,F,AB256055.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256056.1,17262715,NCI-RID
6,BACH2,90751126,5p,60468,,R,R,AB256057.1,17262715,NCI-RID
19,ZNF90,20220649,5p,7643,,F,F,AB256058.1,17262715,NCI-RID
16,MKL2,14325403,5p,57496,,F,F,AB256059.1,17262715,NCI-RID
2,LOC101060142,235359898,5p,,,R,R,AB256060.1,17262715,NCI-RID
16,MKL2,14325403,5p,57496,,F,F,AB256061.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256062.1,17262715,NCI-RID
6,BACH2,90783877,5p,60468,,R,R,AB256063.1,17262715,NCI-RID
7,GLCCI1,8022015,5p,113263,,F,F,AB256064.1,17262715,NCI-RID
6,BACH2,90761351,5p,60468,,R,R,AB256066.1,17262715,NCI-RID
8,PCM1,17822505,5p,5108,,F,F,AB256067.1,17262715,NCI-RID
11,ANKRD13D,67061859,5p,338692,,F,R,AB256068.1,17262715,NCI-RID
13,KPNA3,50319967,5p,3839,,R,R,AB256069.1,17262715,NCI-RID
2,,133019626,5p,,,,F,AB256070.1,17262715,NCI-RID
7,COG5,106924361,5p,10466,,R,R,AB256071.1,17262715,NCI-RID
16,MKL2,14325403,5p,57496,,F,F,AB256072.1,17262715,NCI-RID
17,STAT5B,40412092,5p,6777,,R,R,AB256073.1,17262715,NCI-RID
11,MARK2,63625284,5p,2011,,F,R,AB256074.1,17262715,NCI-RID
6,BACH2,90725682,5p,60468,,R,R,AB256075.1,17262715,NCI-RID
12,FBXO21,117603362,5p,23014,,R,F,AB256076.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256077.1,17262715,NCI-RID
4,TAPT1,16194592,5p,202018,,R,F,AB256078.1,17262715,NCI-RID
16,,29455394,5p,,,,F,AB256079.1,17262715,NCI-RID
16,GSPT1,11999381,5p,2935,,R,F,AB256080.1,17262715,NCI-RID
6,BACH2,90762775,5p,60468,,R,R,AB256081.1,17262715,NCI-RID
18,LPIN2,2951779,5p,9663,,R,F,AB256082.1,17262715,NCI-RID
16,MKL2,14325403,5p,57496,,F,F,AB256083.1,17262715,NCI-RID
11,AMICA1,118093343,5p,120425,,R,F,AB256084.1,17262715,NCI-RID
6,BACH2,90728414,5p,60468,,R,R,AB256085.1,17262715,NCI-RID
1,CREG1,167512188,5p,8804,,R,F,AB256086.1,17262715,NCI-RID
3,RHOA,49425852,5p,387,,R,R,AB256087.1,17262715,NCI-RID
1,AGMAT,15905906,5p,79814,,R,F,AB256088.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256089.1,17262715,NCI-RID
6,BACH2,90752135,5p,60468,,R,R,AB256090.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256091.1,17262715,NCI-RID
11,PPP6R3,68288628,5p,55291,,F,R,AB256092.1,17262715,NCI-RID
7,NRF1,129272535,5p,4899,,F,R,AB256093.1,17262715,NCI-RID
22,,42627211,5p,,,,F,AB256094.1,17262715,NCI-RID
6,BACH2,90762991,5p,60468,,R,R,AB256095.1,17262715,NCI-RID
6,BACH2,90751126,5p,60468,,R,R,AB256096.1,17262715,NCI-RID
17,RNF157,74183135,5p,114804,,R,F,AB256097.1,17262715,NCI-RID
17,STAT5B,40389010,5p,6777,,R,R,AB256098.1,17262715,NCI-RID
11,RARRES3,63308510,5p,5920,,F,R,AB256099.1,17262715,NCI-RID
6,BACH2,90762210,5p,60468,,R,R,AB256100.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256101.1,17262715,NCI-RID
X,,118943893,5p,,,,R,AB256102.1,17262715,NCI-RID
6,BACH2,90762033,5p,60468,,R,R,AB256103.1,17262715,NCI-RID
11,RARRES3,63308510,5p,5920,,F,R,AB256104.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256105.1,17262715,NCI-RID
6,BACH2,90761351,5p,60468,,R,R,AB256106.1,17262715,NCI-RID
X,,153162455,5p,,,,R,AB256107.1,17262715,NCI-RID
6,BACH2,90757518,5p,60468,,R,R,AB256108.1,17262715,NCI-RID
9,RABL6,139709512,5p,55684,,F,F,AB256109.1,17262715,NCI-RID
16,CNEP1R1,50063436,5p,255919,,F,R,AB256110.1,17262715,NCI-RID
16,UBE2I,1367809,5p,7329,,F,F,AB256111.1,17262715,NCI-RID
22,SAMM50,44381365,5p,25813,,F,F,AB256112.1,17262715,NCI-RID
17,TADA2A,35818249,5p,6871,,F,R,AB256113.1,17262715,NCI-RID
6,MRPL14,44091987,5p,64928,,R,F,AB256114.1,17262715,NCI-RID
6,BACH2,90751982,5p,60468,,R,R,AB256115.1,17262715,NCI-RID
11,CLPB,72070228,5p,81570,,R,R,AB256116.1,17262715,NCI-RID
13,UBAC2,99971890,5p,337867,,F,R,AB256117.1,17262715,NCI-RID
17,UBE2G1,4261515,5p,7326,,R,R,AB256118.1,17262715,NCI-RID
15,PEAK1,77648282,5p,79834,,R,F,AB256119.1,17262715,NCI-RID
11,,63335861,5p,,,,F,AB256120.1,17262715,NCI-RID
6,BACH2,90727709,5p,60468,,R,R,AB256121.1,17262715,NCI-RID
6,BACH2,90761344,5p,60468,,R,R,AB256122.1,17262715,NCI-RID
6,BACH2,90751193,5p,60468,,R,R,AB256123.1,17262715,NCI-RID
7,,54816286,5p,,,,R,AB256124.1,17262715,NCI-RID
6,BACH2,90731182,5p,60468,,R,R,AB256126.1,17262715,NCI-RID
16,XPO6,28164266,5p,23214,,R,F,AB256127.1,17262715,NCI-RID
6,BACH2,90727631,5p,60468,,R,R,AB256128.1,17262715,NCI-RID
9,POMT1,134382566,5p,10585,,F,R,AB256129.1,17262715,NCI-RID
