landmark,info/source_line,location,ltr,note,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/subject,sample/years_on_art,sample/clone,sample/tissue,sample/tissue_url,sample/disease,sample/genbank,environment,info/replicate,info/replicates,source_name
chr1,2,8388523,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr1,3,9974591,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr1,4,23564705,5p,,,149,15163705,15163705_149,,,,,,,"in vivo",1,1,NCI-RID
chr1,5,35485099,5p,,R,22,15163705,15163705_22,,,,,,,"in vivo",1,1,NCI-RID
chr1,6,35512631,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr1,7,64521685,5p,,R,150,15163705,15163705_150,,,,,,,"in vivo",1,1,NCI-RID
chr1,8,153893708,5p,,F,144,15163705,15163705_144,,,,,,,"in vivo",1,1,NCI-RID
chr1,9,154585427,5p,,R,153,15163705,15163705_153,,,,,,,"in vivo",1,1,NCI-RID
chr1,10,198988947,5p,,,143,15163705,15163705_143,,,,,,,"in vivo",1,1,NCI-RID
chr2,11,28246375,5p,,F,153,15163705,15163705_153,,,,,,,"in vivo",1,1,NCI-RID
chr2,12,240712417,5p,,,153,15163705,15163705_153,,,,,,,"in vivo",1,1,NCI-RID
chr3,13,30678941,5p,,R,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr3,14,49517972,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr3,15,197173429,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr4,16,38597151,5p,,,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr4,17,109627150,5p,,R,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr5,18,55665906,5p,,F,103,15163705,15163705_103,,,,,,,"in vivo",1,1,NCI-RID
chr5,19,96802953,5p,,R,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr5,20,122070080,5p,,F,142,15163705,15163705_142,,,,,,,"in vivo",1,1,NCI-RID
chr5,21,128147869,5p,,R,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr5,22,140470682,5p,,R,22,15163705,15163705_22,,,,,,,"in vivo",1,1,NCI-RID
chr6,23,5606045,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
chr6,24,30538244,5p,,,144,15163705,15163705_144,,,,,,,"in vivo",1,1,NCI-RID
