info/source_line,landmark,location,ltr,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/tissue,sample/tissue_url,sample/provirus_activity,environment,source_name
2,chr1,164144,3p,R,GXIEMIS01A9CBR,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
3,chr1,784446,3p,R,5O55L:00977:02159,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
4,chr1,824619,3p,R,G13FKHM01AU395,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
5,chr1,838672,3p,R,IBB10C04,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
6,chr1,841832,3p,F,GXIEMIS01AATG7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
7,chr1,963519,5p,F,RSHY_106_212BN_010,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
8,chr1,1061982,5p,F,205__024,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
9,chr1,1096655,5p,R,RSHY_106BN_47_002,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
10,chr1,1102301,3p,R,5O55L:02131:01102,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
11,chr1,1112271,3p,R,5O55L:01435:01619,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
12,chr1,1215396,3p,F,G13FKHM01BUNLP,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
13,chr1,1224578,3p,F,5O55L:01085:00951,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
14,chr1,1226622,5p,F,03__057,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,expressed,"in vitro",SherrillMix-2013
15,chr1,1309564,5p,F,174__065,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
16,chr1,1318361,3p,F,GXIEMIS01BLR73,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
17,chr1,1392019,3p,R,5O55L:01868:01567,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
18,chr1,1393806,3p,R,IBB10C06,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
19,chr1,1404655,3p,F,5O55L:02409:01796,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
20,chr1,1571828,3p,R,IBB16D6,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
21,chr1,1743292,3p,R,G13FKHM01AMEVZ,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
22,chr1,1765146,3p,F,G13FKHM01BL4U5,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
23,chr1,1775506,3p,F,5O55L:00357:00123,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
24,chr1,1785347,3p,F,5O55L:01772:01428,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
25,chr1,1801807,3p,R,GXIEMIS01BYYE5,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
26,chr1,1806980,3p,R,GXIEMIS01A4KU7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
27,chr1,1820116,3p,F,5O55L:01219:01564,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
28,chr1,1822201,3p,F,5O55L:01551:02266,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
29,chr1,1825479,3p,R,GXIEMIS01A0GT7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
30,chr1,1828253,3p,R,5O55L:02388:01517,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
31,chr1,1842421,3p,F,5O55L:01648:00491,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
32,chr1,1848061,3p,F,G13FKHM01AVVZZ,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
33,chr1,1854209,3p,R,5O55L:01843:02415,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
34,chr1,1854509,3p,R,ID14H3,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
35,chr1,1855310,3p,F,GXIEMIS01BZ6MJ,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
36,chr1,1855771,5p,R,RSHY_BN_353_057,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
37,chr1,1878064,3p,R,G13FKHM01BTDBL,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
38,chr1,1878375,3p,R,GXIEMIS01AFQM9,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
39,chr1,1883027,3p,R,IBB10E09,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
40,chr1,1883069,3p,R,5O55L:00421:01518,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
41,chr1,2117501,3p,R,5O55L:02403:01305,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
42,chr1,2241483,3p,F,G13FKHM01BYGBM,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
43,chr1,2244354,3p,F,G13FKHM01BKZ88,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
44,chr1,2276631,3p,R,5O55L:00815:01433,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
45,chr1,2521323,5p,R,RSHY_106N72__050,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
46,chr1,2578914,3p,R,G13FKHM01BC4QF,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
