info/source_line,landmark,location,ltr,note,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/subject,sample/years_on_art,sample/clone,sample/tissue,sample/tissue_url,sample/disease,sample/genbank,environment,info/replicate,info/replicates,source_name
1354,chr1,1157597,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
243,chr1,1252831,5p,,F,AB256219.1,17262715,17262715_Pt.1,,,,,,AB256219,"in vivo",1,1,NCI-RID
1191,chr1,1549332,3p,,R,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
528,chr1,1700290,5p,,F,AB256504.1,17262715,17262715_Pt.4,,,,,,AB256504,"in vivo",1,1,NCI-RID
379,chr1,1705810,5p,,F,AB256355.1,17262715,17262715_Pt.2,,,,,,AB256355,"in vivo",1,1,NCI-RID
1104,chr1,1735042,3p,,F,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
259,chr1,1754772,5p,,F,AB256235.1,17262715,17262715_Pt.1,,,,,,AB256235,"in vivo",1,1,NCI-RID
720,chr1,1791269,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
687,chr1,1809470,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
931,chr1,2385744,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1971,chr1,2453216,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1308,chr1,7979076,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
2,chr1,8448583,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
1803,chr1,8538849,3p,,F,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
1427,chr1,8647633,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1671,chr1,8780529,3p,,R,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1457,chr1,9755256,3p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
3,chr1,10034649,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
1100,chr1,10140486,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
314,chr1,10204337,5p,,F,AB256290.1,17262715,17262715_Pt.2,,,,,,AB256290,"in vivo",1,1,NCI-RID
755,chr1,10415716,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1342,chr1,12669245,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
1490,chr1,14039577,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
355,chr1,14050072,5p,,R,AB256331.1,17262715,17262715_Pt.2,,,,,,AB256331,"in vivo",1,1,NCI-RID
1990,chr1,14083879,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,4,NCI-RID
1990,chr1,14083879,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,4,NCI-RID
1990,chr1,14083879,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,4,NCI-RID
1990,chr1,14083879,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,4,NCI-RID
114,chr1,15905906,5p,,F,AB256088.1,17262715,17262715_Pt.1,,,,,,AB256088,"in vivo",1,1,NCI-RID
1839,chr1,16263305,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
532,chr1,16292675,5p,,R,AB256508.1,17262715,17262715_Pt.5,,,,,,AB256508,"in vivo",1,1,NCI-RID
1444,chr1,16763964,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
543,chr1,17362548,5p,,F,AD-7_AY255025.1,12843741,"12843741_Case #4",,AD-7,"frontal cortex",,"AIDS dementia",,"in vivo",1,1,NCI-RID
1331,chr1,18821330,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1505,chr1,20072945,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
832,chr1,21135724,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1136,chr1,21196603,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
278,chr1,21283078,5p,,F,AB256254.1,17262715,17262715_Pt.2,,,,,,AB256254,"in vivo",1,1,NCI-RID
281,chr1,21283078,5p,,F,AB256257.1,17262715,17262715_Pt.2,,,,,,AB256257,"in vivo",1,1,NCI-RID
287,chr1,21283078,5p,,F,AB256263.1,17262715,17262715_Pt.2,,,,,,AB256263,"in vivo",1,1,NCI-RID
2217,chr1,21346590,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1307,chr1,21384983,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1389,chr1,22072664,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,2,NCI-RID
1389,chr1,22072664,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",2,2,NCI-RID
1622,chr1,22384660,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
182,chr1,22401992,5p,,F,AB256158.1,17262715,17262715_Pt.1,,,,,,AB256158,"in vivo",1,1,NCI-RID
1825,chr1,23637910,3p,,R,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
4,chr1,23891195,5p,,,149,15163705,15163705_149,,,,,,,"in vivo",1,1,NCI-RID
1913,chr1,24083126,3p,,F,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
1272,chr1,25242556,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1162,chr1,25774532,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
2057,chr1,25886636,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
1228,chr1,25956267,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
868,chr1,26112721,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
168,chr1,26792024,5p,,F,AB256143.1,17262715,17262715_Pt.1,,,,,,AB256143,"in vivo",1,1,NCI-RID
1073,chr1,26808998,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
1073,chr1,26808998,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
1073,chr1,26808998,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
1478,chr1,26889261,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
1478,chr1,26889261,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
531,chr1,27031942,5p,,R,AB256507.1,17262715,17262715_Pt.5,,,,,,AB256507,"in vivo",1,1,NCI-RID
2153,chr1,27056288,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
2019,chr1,27772803,5p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
378,chr1,27802685,5p,,F,AB256354.1,17262715,17262715_Pt.2,,,,,,AB256354,"in vivo",1,1,NCI-RID
552,chr1,27972041,5p,,R,AL-1_AY255010.1,12843741,"12843741_Case #1",,AL-1,"lymph node",,"angioimmunoblastic lymphadenopathy (AILD)",,"in vivo",1,1,NCI-RID
2289,chr1,28401336,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1985,chr1,28795546,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
423,chr1,28817167,5p,,R,AB256399.1,17262715,17262715_Pt.2,,,,,,AB256399,"in vivo",1,1,NCI-RID
455,chr1,28964155,5p,,R,AB256431.1,17262715,17262715_Pt.3,,,,,,AB256431,"in vivo",1,1,NCI-RID
2177,chr1,29071156,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1222,chr1,31456827,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
407,chr1,31496959,5p,,F,AB256383.1,17262715,17262715_Pt.2,,,,,,AB256383,"in vivo",1,1,NCI-RID
1560,chr1,32523871,3p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
1197,chr1,33415168,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
830,chr1,35949294,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,6,NCI-RID
830,chr1,35949294,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,6,NCI-RID
830,chr1,35949294,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,6,NCI-RID
830,chr1,35949294,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,6,NCI-RID
830,chr1,35949294,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",5,6,NCI-RID
830,chr1,35949294,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",6,6,NCI-RID
950,chr1,35949300,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
950,chr1,35949300,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
950,chr1,35949300,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
992,chr1,35949752,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
5,chr1,35950700,5p,,R,22,15163705,15163705_22,,,,,,,"in vivo",1,1,NCI-RID
6,chr1,35978232,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
560,chr1,35986801,5p,,R,AL-9_AY253276.1,12843741,"12843741_Case #1",,AL-9,spleen,,"angioimmunoblastic lymphadenopathy (AILD)",,"in vivo",1,1,NCI-RID
1890,chr1,35987613,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
1890,chr1,35987613,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
2029,chr1,37953704,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
850,chr1,37963910,3p,,R,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
566,chr1,38381832,5p,,R,AL-15_AY255017.1,12843741,"12843741_Case #2",,AL-15,"lymph node",,lymphoma,,"in vivo",1,1,NCI-RID
1786,chr1,39748188,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1861,chr1,39748284,5p,,R,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
891,chr1,39867517,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
738,chr1,40696336,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
341,chr1,40744276,5p,,R,AB256317.1,17262715,17262715_Pt.2,,,,,,AB256317,"in vivo",1,1,NCI-RID
958,chr1,41162804,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1182,chr1,42361212,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
2247,chr1,42724512,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
2247,chr1,42724512,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
2303,chr1,43155638,3p,,R,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1169,chr1,44034729,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
174,chr1,45379789,5p,,F,AB256150.1,17262715,17262715_Pt.1,,,,,,AB256150,"in vivo",1,1,NCI-RID
306,chr1,46108400,5p,,F,AB256282.1,17262715,17262715_Pt.2,,,,,,AB256282,"in vivo",1,1,NCI-RID
307,chr1,46108400,5p,,F,AB256283.1,17262715,17262715_Pt.2,,,,,,AB256283,"in vivo",1,1,NCI-RID
2194,chr1,51305870,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1029,chr1,51438449,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1994,chr1,51707372,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1438,chr1,52329877,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
1438,chr1,52329877,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
798,chr1,52707664,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
894,chr1,52872112,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1007,chr1,52904006,5p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
677,chr1,52956519,3p,,F,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",1,1,NCI-RID
1897,chr1,52956519,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
1897,chr1,52956519,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
1897,chr1,52956519,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
2007,chr1,53232338,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
7,chr1,64987368,5p,,R,150,15163705,15163705_150,,,,,,,"in vivo",1,1,NCI-RID
539,chr1,65483334,5p,,F,AD-3_AY255021.1,12843741,"12843741_Case #4",,AD-3,"frontal cortex",,"AIDS dementia",,"in vivo",1,1,NCI-RID
2302,chr1,66812170,5p,,F,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",1,2,NCI-RID
2302,chr1,66812170,5p,,F,PT1_Y4.8,24968937,24968937_PT1,4.8,,,,,,"in vivo",2,2,NCI-RID
1109,chr1,67404597,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1961,chr1,67787986,3p,,R,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
1906,chr1,70696088,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
2304,chr1,78431326,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1715,chr1,89634943,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1422,chr1,92282308,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
2281,chr1,92291406,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
831,chr1,93439115,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1974,chr1,93815733,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
1974,chr1,93815733,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
2016,chr1,93815739,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
2016,chr1,93815739,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
2016,chr1,93815739,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
