origin_id	chr	insert_position	LTR	insert_orientation	count	inserted_gene	refseq_id	gene_id	gene_orientation	exon_intron	nearest_gene	nearest_gene_refseq_id	nearest_gene_id	nearest_gene_orientation	nearest_gene_distance	comment	pubmed_id
21	chr1	8448583	5LTR	+	1	RERE	NM_001042681	 473	-	intron12					0		15163705
21	chr1	10034649	5LTR	+	1	NMNAT1	NM_022787	 64802	+	intron2					0		15163705
149	chr1	23891195	5LTR		1	not found					ID3	NM_002167	 3399	-	4910		15163705
22	chr1	35950701	5LTR	-	1	KIAA0319L	NM_024874	 79932	-	intron3					0		15163705
21	chr1	35978232	5LTR	+	1	KIAA0319L	NM_024874	 79932	-	intron2					0		15163705
150	chr1	64987369	5LTR	-	1	CACHD1	NM_020925	 57685	+	intron1;Flag=First					0		15163705
144	chr1	153866184	5LTR	+	1	GATAD2B	NM_020699	 57459	-	intron1;Flag=First					0		15163705
153	chr1	154557904	5LTR	-	1	ADAR	NM_001025107	 103	-	intron13					0		15163705
143	chr1	198958076	5LTR		1	not found					BC040869			-	17092		15163705
153	chr2	28469242	5LTR	+	1	BRE	NM_199194	 9577	+	intron11					0		15163705
153	chr2	241651834	5LTR		1	not found					KIF1A			-	1346		15163705
21	chr3	30720434	5LTR	-	1	TGFBR2	NM_001024847	 7048	+	intron6					0		15163705
21	chr3	49555405	5LTR	+	1	DAG1	NM_001177643	 1605	+	intron2;Flag=Last					0		15163705
21	chr3	196900300	5LTR	+	1	DLG1	NM_001204386	 1739	-	intron5					0		15163705
21	chr4	38598772	5LTR		1	not found					FLJ13197	NR_026804	 79667	-	15549		15163705
21	chr4	110548307	5LTR	-	1	CCDC109B	NM_017918	 55013	+	intron1;Flag=First					0		15163705
103	chr5	54961734	5LTR	+	1	SLC38A9	NR_047650	 153129	-	intron6					0		15163705
21	chr5	96138657	5LTR	-	1	ERAP1	NM_016442	 51752	-	intron2					0		15163705
142	chr5	121405775	5LTR	+	1	LOX	NM_002317	 4015	-	exon6					0		15163705
21	chr5	127483562	5LTR	-	1	SLC12A2	NM_001256461	 6558	+	intron11					0		15163705
22	chr5	139850268	5LTR	-	1	ANKHD1	NM_017747	 54882	+	intron10					0		15163705
21	chr6	5606278	5LTR	+	1	FARS2	NM_006567	 10667	+	intron5					0		15163705
144	chr6	30506021	5LTR		1	not found					GNL1	NM_005275	 2794	-	3133		15163705
144	chr6	32893242	5LTR		1	not found					HLA-DMB			-	9163		15163705
79	chr6	35646989	5LTR	-	1	FKBP5	NM_001145775	 2289	-	intron2					0		15163705
21	chr6	38570382	5LTR	+	1	BTBD9	NM_052893	 114781	-	intron2					0		15163705
21	chr6	135323612	5LTR	+	1	HBS1L	NM_006620	 10767	-	intron5					0		15163705
21	chr6	135520570	5LTR	+	1	MYB	NM_001161656	 4602	+	intron11					0		15163705
22	chr6	135811734	5LTR	-	1	AHI1	NM_017651	 54806	-	intron4					0		15163705
21	chr7	106511329	5LTR	+	1	PIK3CG	NM_002649	 5294	+	intron2					0		15163705
21	chr8	144724888	5LTR	+	1	ZNF623	NM_001261843	 9831	+	intron1;Flag=SingleI					0		15163705
22	chr9	80533884	5LTR	-	1	GNAQ	NM_002072	 2776	-	intron2					0		15163705
22	chr9	117478696	5LTR		1	not found					LOC100505478	NM_001199233	 100505478	-	34327		15163705
21	chr10	111811163	5LTR	-	1	ADD3	NM_019903	 120	+	intron1;Flag=First					0		15163705
21	chr11	9779886	5LTR	-	1	SBF2-AS1	NR_036485	 283104	+	exon1;Flag=First					0		15163705
21	chr11	64543661	5LTR	+	1	SF1	NM_201995	 7536	-	intron2					0		15163705
21	chr11	72131563	5LTR	-	1	CLPB	NM_001258392	 81570	-	intron2					0		15163705
143	chr12	3955731	5LTR	-	1	PARP11	NM_020367	 57097	-	intron1;Flag=First					0		15163705
152	chr12	31857504	5LTR	-	1	AMN1	NR_004854	 196394	-	intron2					0		15163705
150	chr12	51072227	5LTR	-	1	DIP2B	NM_173602	 57609	+	intron7					0		15163705
151	chr12	54636639	5LTR	-	1	CBX5	NM_012117	 23468	-	intron4;Flag=Last					0		15163705
145	chr12	92795962	5LTR		1	not found					CLLU1OS	NM_001025232	 574016	-	17907		15163705
146	chr15	59374497	5LTR	-	1	RNF111	NM_001270529	 54778	+	intron8					0		15163705
21	chr15	68420045	5LTR	+	1	PIAS1	NM_016166	 8554	+	intron2					0		15163705
153	chr15	86189926	5LTR	-	1	AKAP13	NM_006738	 11214	+	intron10					0		15163705
153	chr16	29681519	5LTR	+	1	SPN	NM_001030288	 6693	+	exon2;Flag=Last					0		15163705
21	chr16	29724502	5LTR		1	not found					QPRT			+	15188		15163705
21	chr16	29809570	5LTR	-	1	KIF22	NM_007317	 3835	+	intron2					0		15163705
21	chr16	57265515	5LTR	+	1	RSPRY1	NM_133368	 89970	+	intron13					0		15163705
79	chr16	68179951	5LTR	+	1	NFATC3	NM_173165	 4775	+	intron3					0		15163705
21	chr17	2228660	5LTR	+	1	TSR1	NM_018128	 55720	-	exon12					0		15163705
21	chr17	16062208	5LTR	+	1	NCOR1	NM_006311	 9611	-	intron5					0		15163705
21	chr17	19850073	5LTR	-	1	AKAP10	NM_007202	 11216	-	intron5					0		15163705
150	chr17	38563322	5LTR	-	1	TOP2A	NM_001067	 7153	-	intron13					0		15163705
103	chr17	41727533	5LTR	-	1	MEOX1	NM_001040002	 4222	-	intron2					0		15163705
21	chr17	73332531	5LTR	+	1	GRB2	NM_203506	 2885	-	intron2					0		15163705
21	chr17	74215223	5LTR	+	1	RNF157	NM_052916	 114804	-	intron1;Flag=First					0		15163705
153	chr17	74341831	5LTR	+	1	PRPSAP1	NM_002766	 5635	-	intron2					0		15163705
153	chr17	75918743	5LTR		1	not found					FLJ45079	NR_028337	 400624	-	38574		15163705
21	chr17	79832673	5LTR		1	not found					ARHGDIA			-	3391		15163705
20	chr17	80729156	5LTR	-	1	TBCD	NM_005993	 6904	+	intron5					0		15163705
99	chr19	10292709	5LTR	-	1	DNMT1	NM_001130823	 1786	-	intron2					0		15163705
21	chr19	10448206	5LTR	-	1	ICAM3	NM_002162	 3385	-	intron2					0		15163705
21	chr19	17939839	5LTR	+	1	JAK3	NM_000215	 3718	-	intron23;Flag=Last					0		15163705
22	chr19	34843246	5LTR	+	1	KIAA0355	NM_014686	 9710	+	intron13;Flag=Last					0		15163705
21	chr19	36197331	5LTR		1	not found					ZBTB32	NM_014383	 27033	+	6498		15163705
152	chr19	50500224	5LTR	+	1	VRK3	NM_016440	 51231	-	intron7					0		15163705
21	chr19	57087504	5LTR	-	1	ZNF470	NM_001001668	 388566	+	intron5;Flag=Last					0		15163705
153	chr20	49538444	5LTR	+	1	ADNP	NM_181442	 23394	-	intron1;Flag=First					0		15163705
22	chr22	21285013	5LTR	+	1	CRKL	NM_005207	 1399	+	intron1;Flag=First					0		15163705
153	chr22	37591227	5LTR		1	not found					C1QTNF6	NM_031910	 114904	-	6711		15163705
21	chr22	38258269	5LTR	-	1	EIF3L	NM_016091	 51386	+	intron5					0		15163705
22	chr22	50979893	5LTR		1	not found					KLHDC7B	NM_138433	 113730	+	6568		15163705
22	chrX	42941055	5LTR		1	not found					AK056105			+	95187		15163705
AB256049.1	chrX	118943893	5LTR	-	1	not found					RPL39	NM_001000	6170	-	18271		17262715
