info/source_line,landmark,location,ltr,note,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/subject,sample/years_on_art,sample/clone,sample/tissue,sample/tissue_url,sample/disease,sample/genbank,environment,info/replicate,info/replicates,source_name
1354,chr1,1222217,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
243,chr1,1317451,5p,,F,AB256219.1,17262715,17262715_Pt.1,,,,,,AB256219,"in vivo",1,1,NCI-RID
1191,chr1,1613952,3p,,R,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
528,chr1,1768851,5p,,F,AB256504.1,17262715,17262715_Pt.4,,,,,,AB256504,"in vivo",1,1,NCI-RID
379,chr1,1774371,5p,,F,AB256355.1,17262715,17262715_Pt.2,,,,,,AB256355,"in vivo",1,1,NCI-RID
1104,chr1,1803603,3p,,F,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
259,chr1,1823333,5p,,F,AB256235.1,17262715,17262715_Pt.1,,,,,,AB256235,"in vivo",1,1,NCI-RID
720,chr1,1859830,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
687,chr1,1878031,5p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
931,chr1,2454305,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1971,chr1,2521777,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1308,chr1,7919016,3p,,R,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
2,chr1,8388523,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
1803,chr1,8478789,3p,,F,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
1427,chr1,8587574,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1671,chr1,8720470,3p,,R,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1457,chr1,9695198,3p,,F,PT1_Y0.2,24968937,24968937_PT1,0.2,,,,,,"in vivo",1,1,NCI-RID
3,chr1,9974591,5p,,F,21,15163705,15163705_21,,,,,,,"in vivo",1,1,NCI-RID
1100,chr1,10080428,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
314,chr1,10144279,5p,,F,AB256290.1,17262715,17262715_Pt.2,,,,,,AB256290,"in vivo",1,1,NCI-RID
755,chr1,10355658,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1342,chr1,12609240,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
1490,chr1,13713082,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
355,chr1,13723577,5p,,R,AB256331.1,17262715,17262715_Pt.2,,,,,,AB256331,"in vivo",1,1,NCI-RID
1990,chr1,13757384,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,4,NCI-RID
1990,chr1,13757384,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,4,NCI-RID
1990,chr1,13757384,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,4,NCI-RID
1990,chr1,13757384,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",4,4,NCI-RID
114,chr1,15579411,5p,,F,AB256088.1,17262715,17262715_Pt.1,,,,,,AB256088,"in vivo",1,1,NCI-RID
1839,chr1,15936810,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
532,chr1,15966180,5p,,R,AB256508.1,17262715,17262715_Pt.5,,,,,,AB256508,"in vivo",1,1,NCI-RID
1444,chr1,16437469,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
543,chr1,17036053,5p,,F,AD-7_AY255025.1,12843741,"12843741_Case #4",,AD-7,"frontal cortex",,"AIDS dementia",,"in vivo",1,1,NCI-RID
1331,chr1,18494836,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
1505,chr1,19746452,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
832,chr1,20809231,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1136,chr1,20870110,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
278,chr1,20956585,5p,,F,AB256254.1,17262715,17262715_Pt.2,,,,,,AB256254,"in vivo",1,1,NCI-RID
281,chr1,20956585,5p,,F,AB256257.1,17262715,17262715_Pt.2,,,,,,AB256257,"in vivo",1,1,NCI-RID
287,chr1,20956585,5p,,F,AB256263.1,17262715,17262715_Pt.2,,,,,,AB256263,"in vivo",1,1,NCI-RID
2217,chr1,21020097,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1307,chr1,21058490,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
1389,chr1,21746171,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,2,NCI-RID
1389,chr1,21746171,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",2,2,NCI-RID
1622,chr1,22058167,3p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
182,chr1,22075499,5p,,F,AB256158.1,17262715,17262715_Pt.1,,,,,,AB256158,"in vivo",1,1,NCI-RID
1825,chr1,23311417,3p,,R,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
4,chr1,23564705,5p,,,149,15163705,15163705_149,,,,,,,"in vivo",1,1,NCI-RID
1913,chr1,23756636,3p,,F,PT3_Y0,24968937,24968937_PT3,0,,,,,,"in vivo",1,1,NCI-RID
1272,chr1,24916065,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1162,chr1,25448041,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
2057,chr1,25560145,3p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
1228,chr1,25629776,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
868,chr1,25786230,5p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
168,chr1,26465533,5p,,F,AB256143.1,17262715,17262715_Pt.1,,,,,,AB256143,"in vivo",1,1,NCI-RID
1073,chr1,26482507,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,3,NCI-RID
1073,chr1,26482507,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,3,NCI-RID
1073,chr1,26482507,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",3,3,NCI-RID
1478,chr1,26562770,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,2,NCI-RID
1478,chr1,26562770,3p,,R,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",2,2,NCI-RID
531,chr1,26705451,5p,,R,AB256507.1,17262715,17262715_Pt.5,,,,,,AB256507,"in vivo",1,1,NCI-RID
2153,chr1,26729797,3p,,F,PT5_Y14.5,24968937,24968937_PT5,14.5,,,,,,"in vivo",1,1,NCI-RID
2019,chr1,27446290,5p,,F,PT3_Y7.2,24968937,24968937_PT3,7.2,,,,,,"in vivo",1,1,NCI-RID
378,chr1,27476174,5p,,F,AB256354.1,17262715,17262715_Pt.2,,,,,,AB256354,"in vivo",1,1,NCI-RID
552,chr1,27645530,5p,,R,AL-1_AY255010.1,12843741,"12843741_Case #1",,AL-1,"lymph node",,"angioimmunoblastic lymphadenopathy (AILD)",,"in vivo",1,1,NCI-RID
2289,chr1,28074825,3p,,F,PT4_Y12.2,24968937,24968937_PT4,12.2,,,,,,"in vivo",1,1,NCI-RID
1985,chr1,28469035,5p,,F,PT1_Y11.4,24968937,24968937_PT1,11.4,,,,,,"in vivo",1,1,NCI-RID
