info/source_line,landmark,location,ltr,orientation_in_landmark,sample/original_id,sample/pubmed_id,sample/tissue,sample/tissue_url,sample/provirus_activity,environment,source_name
2,chr1,164144,3p,R,GXIEMIS01A9CBR,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
3,chr1,719826,3p,R,5O55L:00977:02159,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
4,chr1,759999,3p,R,G13FKHM01AU395,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
5,chr1,774052,3p,R,IBB10C04,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
6,chr1,777212,3p,F,GXIEMIS01AATG7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
7,chr1,898899,5p,F,RSHY_106_212BN_010,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
8,chr1,997362,5p,F,205__024,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
9,chr1,1032035,5p,R,RSHY_106BN_47_002,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
10,chr1,1037681,3p,R,5O55L:02131:01102,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
11,chr1,1047651,3p,R,5O55L:01435:01619,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
12,chr1,1150776,3p,F,G13FKHM01BUNLP,22911005,"Primary resting CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
13,chr1,1159958,3p,F,5O55L:01085:00951,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
14,chr1,1162002,5p,F,03__057,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,expressed,"in vitro",SherrillMix-2013
15,chr1,1244944,5p,F,174__065,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
16,chr1,1253741,3p,F,GXIEMIS01BLR73,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
17,chr1,1327399,3p,R,5O55L:01868:01567,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
18,chr1,1329186,3p,R,IBB10C06,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
19,chr1,1340035,3p,F,5O55L:02409:01796,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
20,chr1,1507208,3p,R,IBB16D6,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
21,chr1,1674731,3p,R,G13FKHM01AMEVZ,22911005,"Primary active CD4+ T cells",,silent,"in vitro",SherrillMix-2013
22,chr1,1696585,3p,F,G13FKHM01BL4U5,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
23,chr1,1706945,3p,F,5O55L:00357:00123,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
24,chr1,1716786,3p,F,5O55L:01772:01428,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
25,chr1,1733246,3p,R,GXIEMIS01BYYE5,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
26,chr1,1738419,3p,R,GXIEMIS01A4KU7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
27,chr1,1751555,3p,F,5O55L:01219:01564,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
28,chr1,1753640,3p,F,5O55L:01551:02266,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
29,chr1,1756918,3p,R,GXIEMIS01A0GT7,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
30,chr1,1759692,3p,R,5O55L:02388:01517,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
31,chr1,1773860,3p,F,5O55L:01648:00491,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
32,chr1,1779500,3p,F,G13FKHM01AVVZZ,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
33,chr1,1785648,3p,R,5O55L:01843:02415,23953889,"Primary central memory CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
34,chr1,1785948,3p,R,ID14H3,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,inducible,"in vitro",SherrillMix-2013
35,chr1,1786749,3p,F,GXIEMIS01BZ6MJ,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
36,chr1,1787210,5p,R,RSHY_BN_353_057,21430059,"Primary CD4+ T cells (Bcl-2 transduced)",,inducible,"in vitro",SherrillMix-2013
37,chr1,1809503,3p,R,G13FKHM01BTDBL,22911005,"Primary resting CD4+ T cells",,silent,"in vitro",SherrillMix-2013
38,chr1,1809814,3p,R,GXIEMIS01AFQM9,22911005,"Primary active CD4+ T cells",,expressed,"in vitro",SherrillMix-2013
39,chr1,1814466,3p,R,IBB10E09,15890899,"Jurkat cells",http://web.expasy.org/cellosaurus/CVCL_0065,expressed,"in vitro",SherrillMix-2013
40,chr1,1814508,3p,R,5O55L:00421:01518,23953889,"Primary central memory CD4+ T cells",,inducible,"in vitro",SherrillMix-2013
